"","X","LUH_orginal","ProductionItem","FAOItemCode","MAGsho","kcr","LUH2MAg","LUH2kcr","Cropgroup"
"133",133,"c3per","311|Kapokseed in shell","311","c3a","rapeseed","c3per.MAGc3a","c3per.rapeseed","Other oil crops (incl rapeseed)"
"134",134,"c3per","339|Other oil seeds, nec","339","c3a","rapeseed","c3per.MAGc3a","c3per.rapeseed","Other oil crops (incl rapeseed)"
"135",135,"c4ann","636|Forage and silage, maize","636","c3a","foddr","c4ann.MAGc3a","c4ann.foddr","Forage"
"136",136,"c4ann","637|Forage and silage, sorghum","637","c3a","foddr","c4ann.MAGc3a","c4ann.foddr","Forage"
"137",137,"c4ann","446|Green corn (maize)","446","c3a","others","c4ann.MAGc3a","c4ann.others","Fruits Vegetables Nuts"
"138",138,"c4ann",NA,"68","c3a","tece","c4ann.MAGc3a","c4ann.tece","Temperate cereals"
"139",139,"c3nfx","640|Forage and silage, clover","640","c3a","foddr","c3nfx.MAGc3a","c3nfx.foddr","Forage"
"140",140,"c3nfx","641|Forage and silage, alfalfa","641","c3a","foddr","c3nfx.MAGc3a","c3nfx.foddr","Forage"
"141",141,"c3nfx","643|Forage and silage, legumes","643","c3a","foddr","c3nfx.MAGc3a","c3nfx.foddr","Forage"
"142",142,"c3nfx","414|Other beans, green","414","c3a","others","c3nfx.MAGc3a","c3nfx.others","Fruits Vegetables Nuts"
"143",143,"c3nfx","417|Peas, green","417","c3a","others","c3nfx.MAGc3a","c3nfx.others","Fruits Vegetables Nuts"
"144",144,"c3nfx","420|Broad beans and horse beans, green","420","c3a","others","c3nfx.MAGc3a","c3nfx.others","Fruits Vegetables Nuts"
"145",145,"c3nfx","423|String beans","423","c3a","others","c3nfx.MAGc3a","c3nfx.others","Fruits Vegetables Nuts"
"146",146,"c3per","254|Oil palm fruit","254","c3p","oilpalm","c3per.MAGc3p","c3per.oilpalm","Oilpalms"
"147",147,"c3per","254|Oil palm fruit","254","c3p","oilpalm","c3per.MAGc3p","c3per.oilpalm","Oilpalms"
"148",148,"c4ann","56|Maize (corn)","56","c4a","maiz","c4ann.MAGc4a","c4ann.maiz","Maize"
"149",149,"c4ann","79|Millet","79","c4a","trce","c4ann.MAGc4a","c4ann.trce","Tropical cereals"
"150",150,"c4ann","83|Sorghum","83","c4a","trce","c4ann.MAGc4a","c4ann.trce","Tropical cereals"
"151",151,"c4per","156|Sugar cane","156","c4p","sugr_cane","c4per.MAGc4p","c4per.sugr_cane","Sugar cane"
"152",152,"c3nfx","242|Groundnuts, excluding shelled","242","cnf","groundnut","c3nfx.MAGcnf","c3nfx.groundnut","Groundnuts"
"153",153,"c3nfx","176|Beans, dry","176","cnf","puls_pro","c3nfx.MAGcnf","c3nfx.puls_pro","Pulses"
"154",154,"c3nfx","181|Broad beans and horse beans, dry","181","cnf","puls_pro","c3nfx.MAGcnf","c3nfx.puls_pro","Pulses"
"155",155,"c3nfx","187|Peas, dry","187","cnf","puls_pro","c3nfx.MAGcnf","c3nfx.puls_pro","Pulses"
"156",156,"c3nfx","191|Chick peas, dry","191","cnf","puls_pro","c3nfx.MAGcnf","c3nfx.puls_pro","Pulses"
"157",157,"c3nfx","195|Cow peas, dry","195","cnf","puls_pro","c3nfx.MAGcnf","c3nfx.puls_pro","Pulses"
"158",158,"c3nfx","197|Pigeon peas, dry","197","cnf","puls_pro","c3nfx.MAGcnf","c3nfx.puls_pro","Pulses"
"159",159,"c3nfx","201|Lentils, dry","201","cnf","puls_pro","c3nfx.MAGcnf","c3nfx.puls_pro","Pulses"
"160",160,"c3nfx","203|Bambara beans, dry","203","cnf","puls_pro","c3nfx.MAGcnf","c3nfx.puls_pro","Pulses"
"161",161,"c3nfx","205|Vetches","205","cnf","puls_pro","c3nfx.MAGcnf","c3nfx.puls_pro","Pulses"
"162",162,"c3nfx","210|Lupins","210","cnf","puls_pro","c3nfx.MAGcnf","c3nfx.puls_pro","Pulses"
"163",163,"c3nfx","211|Other pulses nec","211","cnf","puls_pro","c3nfx.MAGcnf","c3nfx.puls_pro","Pulses"
"164",164,"c3nfx","236|Soya beans","236","cnf","soybean","c3nfx.MAGcnf","c3nfx.soybean","Soybean"
"165",165,"c3ann","677|Hop cones","677","nul","others","c3ann.MAGnul","c3ann.others","Fruits Vegetables Nuts"
"166",166,"c3ann","748|Peppermint, spearmint","748","nul","others","c3ann.MAGnul","c3ann.others","Fruits Vegetables Nuts"
